Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.2,"Gelfand,B","Mamedyarov,S",1/2-1/2,2728,2800,D02,g1f3 d7d5 d2d4 e7e6 c2c4 a7a6 c4d5 e6d5 b1c3 g8f6 d1b3 b7b5 c1g5 c8e6 b3c2 b8d7 e2e3 c7c5 d4c5 f8c5 f1d3 h7h6 g5h4 a8c8 e1g1 e8g8 c2b1 g7g5 h4g3 f6h5 c3e2 h5g3 h2g3 d8f6 a2a4 d7e5 f3e5 f6e5 a4b5 a6b5 b2b4 c5b6 a1a6 c8b8 b1a1 e5a1 f1a1 d5d4 e2d4 b6d4 e3d4 f8d8 a1d1 g8g7 d3e4 e6d5 e4d5 d8d5 a6c6 b8d8 c6c5 d5d4 d1d4 d8d4 c5b5 d4d1 g1h2 g5g4 f2f3 d1b1 f3g4 g7g6 b5b8 g6f6 b4b5 f6g6 b5b6 g6g7
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.3,"Giri,A","Radjabov,T",0-1,2775,2724,D37,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 b8d7 c4c5 f6h5 f1d3 h5f4 e3f4 c7c6 d1c2 h7h6 e1g1 d8c7 f3e5 d7e5 f4e5 c8d7 a2a3 b7b6 b2b4 b6c5 b4c5 f7f6 f2f4 a8b8 g2g3 c7a5 c3e2 d7e8 d3g6 e8g6 c2g6 a5d2 f1f2 d2e3 g6g4 g8h7 g4e6 b8e8 a3a4 f6e5 e6e5 e3d3 e5h5 e7f6 a1f1 g7g6 h5g4 h6h5 g4d7 e8e7 d7d6 h7g7 e2c1 d3f5 f1d1 f8e8 d6c6 e7e1 f2f1 f6d4 d1d4 e1f1 g1f1 f5h3 f1f2 h3h2 f2f1 h2h1 f1f2 e8e1
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.1,"Aronian,L",Li Chao2,1/2-1/2,2809,2735,E60,d2d4 g8f6 c2c4 g7g6 f2f3 e7e6 b1c3 c7c5 d4d5 d7d6 e2e4 f8g7 g1e2 e6d5 c4d5 b8d7 e2g3 h7h5 f1e2 f6h7 c1e3 h5h4 g3f1 e8g8 d1d2 f8e8 e3h6 g7d4 f1e3 a7a6 e3c2 d4e5 h6f4 b7b5 e1g1 e5f4 d2f4 d7e5 f4h6 g6g5 g2g3 h4g3 h2g3 d8f6 h6h2 e5g6 c2e3 c8d7 g1g2 g8g7 f1h1 e8h8 h2g1 f6e5 g1f2 h7f6 a1f1 f6h5 f1g1 h5f4 g3f4 d7h3 h1h3 g6f4 g2f1 f4h3 f2g3 h3g1 g3e5 d6e5 f1g1 c5c4 e3f5 g7f6 d5d6 f6e6 a2a4 e6d7 a4b5 a6b5 c3b5 a8a2 e2c4 a2b2 b5c7 h8h2 c4b5 d7d8 f5e3
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.4,"Inarkiev,E","Grischuk,A",1/2-1/2,2707,2761,A10,c2c4 f7f5 g1f3 g8f6 g2g3 e7e6 f1g2 d7d5 e1g1 f8d6 b1c3 e8g8 d2d3 d5c4 d3c4 b8c6 e2e4 e6e5 c1g5 f5e4 f3d2 d6e7 d2e4 f6e4 d1d8 e7d8 c3e4 c6d4 g5d8 f8d8 e4c5 c7c6 a1e1 d4e6 c5e6 c8e6 b2b3 e6f7 e1e5 g8f8 f1e1 d8d2 e5e2 a8d8 g2e4 a7a5 a2a4 d2e2 e1e2 d8d4 f2f3 b7b5 e4c6 b5c4 b3c4 d4c4 c6b5 c4b4 g1f2 g7g5 e2e5 h7h6 b5c6 b4c4 c6b5 c4b4 h2h3 b4b2 e5e2 b2b4 g3g4 b4b3 e2e5 b3b4 b5c6 b4c4 c6b5 c4b4 e5e2 f7d5 e2d2 d5b3 d2d6 f8g7 d6d7 g7g8 f2g3 b3a4 b5a4 b4a4 h3h4 g5h4 g3h4 a4f4 h4g3 f4f7 d7d8 f7f8 d8d6 f8a8 d6h6 a5a4 h6h2 a4a3 h2a2 g8f7 g3f4 f7f6 f4e4 f6g5 e4e5 a8a4 e5d5 g5f4 d5c5 f4f3 c5b5 a4g4 a2a3
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.5,"Svidler,P","Jakovenko,D",1/2-1/2,2749,2703,A34,c2c4 g8f6 b1c3 c7c5 g2g3 e7e6 f1g2 d7d5 d1b3 d5c4 b3c4 f8e7 d2d3 e8g8 g1f3 b8c6 e1g1 e6e5 c3e4 b7b6 c1g5 c8b7 g5f6 e7f6 a2a3 f6e7 a1c1 a8c8 f1d1 f8e8 e2e3 e7f8 h2h4 c6a5 c4c2 b7d5 f3d2 d8d7 e4c3
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.6,"Rapport,R","Nepomniachtchi,I",1/2-1/2,2694,2742,A45,d2d4 g8f6 c2c3 e7e6 c1g5 h7h6 g5h4 b7b6 e2e3 c8b7 b1d2 f8e7 g1f3 c7c5 a2a3 b8c6 f1d3 d7d5 b2b4 a8c8 d1b1 b7a8 h4g3 e7d6 f3e5 e8g8 f2f4 c5d4 c3d4 d6e5 f4e5 f6g4 g3f4 g7g5 b1d1 f7f5 e5f6 g4f2 e1f2 d8f6 d1g4 e6e5 g4d7 f6g7 d3f5 c8e8 f5e6 g8h8 d7g7 h8g7 e6d7 e8e7 d7c6 a8c6 a1c1 e5f4 e3f4 f8f4 d2f3 c6b5 h1e1 e7e1 f2e1 b5c4 h2h3 f4e4 e1f2 e4e2 f2g1 e2a2 f3e5 b6b5 c1c3 g7f6 c3f3 f6e6 g1h2 a2d2 f3e3 e6f5 e5f7 h6h5 e3e5 f5g6 f7d6 c4f1 e5e6 g6g7 e6e7 g7g6 e7e6 g6g7 e6e7
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.7,"Eljanov,P",Hou Yifan,1-0,2739,2666,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 h2h3 d7d6 c2c3 c6e7 b1d2 e7g6 f1e1 c5b6 c4b3 c7c6 b3c2 f8e8 d3d4 b6c7 d4e5 d6e5 d2c4 c8e6 d1e2 h7h6 e2f1 f6h7 c4e3 g6f4 e3f5 e6f5 e4f5 h7f6 c1f4 e5f4 a1d1 d8c8 f1c4 e8e1 d1e1 c8f8 c2b3 a8e8 e1e8 f8e8 c4b4 b7b5 b4d4 c7b8 a2a4 e8e7 d4d3 a7a6 g1f1 e7d7 d3d7 f6d7 f3d4 d7e5 a4b5 a6b5 b3c2 b8a7 b2b4 f4f3 g2g4 a7d4 c3d4 e5c4 f1e1 c4b6 c2e4 b6d5 e4d5 c6d5 e1d2 g8f8 d2e3 f8e7 e3f3 e7d7 f3g3 d7e7 g3h4 g7g6 g4g5 h6h5 f2f4 e7f8 f5g6 f7g6 f4f5
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.8,"Riazantsev,A","Harikrishna,P",0-1,2654,2737,E34,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 e2e3 c7c5 c1d2 b4c3 b2c3 e8g8 g1f3 b8c6 c3c4 d5d6 d2c3 c5d4 e3d4 b7b6 f1e2 c8b7 e1g1 a8c8 f1d1 c6e7 c2b3 f8d8 f3e5 e7g6 c3b2 f6d7 e5g6 h7g6 a2a4 d7f6 a4a5 d6c7 a5b6 a7b6 a1b1 f6e4 b1c1 c7f4 f2f3 e4f6 c1c2 f4c7 b2c1 b6b5 c4c5 b7d5 b3b4 d5c6 c1g5 f6d5 b4b2 d8e8 d1a1 c8a8 c2c1 c7b7 g5d2 a8a1 c1a1 e8a8 a1a5 a8a5 d2a5 b5b4 e2c4 d5e3 c4e2 b4b3 a5d2 e3f5 d2c3 c6d5 b2c1 f5e7 c3b2 e7c6 c1c3 g8f8 g1f2 f8e7 c3d2 b7b8 h2h3 e7f8 e2d3 f8g8 d2e1 b8f4 e1e3 f4h4 f2g1 h4d8 g1f2 d8a5 e3e1 c6b4 d3b1 a5b5 e1c3 b5a4 f2g1 g8f8 g1f2 b4c6 f2g1 f8e8 g1f2 e8d7 c3d2 d7c8 d2c3 c6a5 b1d3 d5c4 d3b1 a5c6 d4d5 c4d5 c3g7 a4h4 g2g3 h4h3 g7f8 c6d8 f8h8 h3h8 b2h8 d8b7 f2e3 c8d7 f3f4 b7c5 g3g4 f7f5 g4f5 e6f5 b1d3 d7c6 d3e2 c5a4 e2d1 c6c5 h8d4 c5b4 d4g7 d5e4 g7f8 b4c4 d1e2 c4d5 e2d1 b3b2 d1b3 d5c6 b3a4 c6b7
Geneva Grand Prix 2017,Geneva SUI,2017.07.06,1.9,"Adams,Mi","Salem,AR",1-0,2736,2638,B90,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4 e3g5 h7h6 g5c1 b8c6 d4c6 b7c6 f1c4 e7e5 b2b3 f8e7 c1b2 e8g8 d1e2 d8b6 e1g1 g4f6 g1h1 a6a5 c3a4 b6c7 a1e1 f6d7 e2d3 c8b7 d3g3 e7g5 e1d1 d7f6 f2f3 f8e8 f1e1 a8d8 c4f1 f6h5 g3f2 e8e6 g2g3 e6e8 f2b6 c7b8 b2c3 d8c8 f1h3 d6d5 a4c5 b7a8 b6b8 c8b8 e4d5 c6d5 c3e5 d5d4 e5b8 e8b8 d1d4 a8f3 h3g2 f3g2 h1g2 b8c8 d4c4 c8d8 c5d3
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.5,"Grischuk,A","Rapport,R",1-0,2761,2694,C97,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6a5 b3c2 c7c5 d2d4 d8c7 d4d5 a5c4 b2b3 c4b6 a2a4 c8d7 a4a5 b6c8 c3c4 b5b4 b1d2 e7d8 d2f1 g8h8 a1a2 c7b8 c1e3 c8e7 f1g3 b8c8 f3h4 e7g8 e1f1 f6e8 h4f3 d8f6 f3h2 g8e7 g3h5 e7g6 c2b1 c8d8 d1c1 h8g8 g1h1 f6h4 f2f4 e5f4 h5f4 g6e5 f4d3 e5d3 b1d3 e8f6 e3f4 f6h5 f4d6 h5g3 d6g3 h4g3 h2f3 d8c7 a2e2 f7f6 e4e5 g3e5 c1c2 h7h6 d3h7 g8h8 h7f5 d7e8 f3e5 f6e5 f1e1 c7a5 e2e5 a5c7 c2d2 c7d6 e5e6 d6g3 e6h6 h8g8 f5h7 g8h8 h7f5 h8g8 f5h7 g8h8 h7e4 h8g8 d5d6 a8a7 h6e6 a7f7 h1g1 f7f2 d2d1 e8f7 e4d5 g7g6 e6e3 g3g5 d5f3 f2a2 d6d7 f8d8 e3e8 g8g7 e8d8 g5d8 d1d6
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.7,"Nepomniachtchi,I","Gelfand,B",1/2-1/2,2742,2728,B31,e2e4 c7c5 g1f3 b8c6 f1b5 g7g6 b5c6 b7c6 e1g1 f8g7 f1e1 g8h6 h2h3 e8g8 c2c3 f7f5 e4e5 h6f7 d2d3 d7d6 c1f4 c8a6 e5e6 f7e5 f4e5 d6e5 f3e5 d8b8 d3d4 g7e5 e1e5 c5d4 c3d4 b8b2 b1d2
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.8,"Salem,AR","Giri,A",0-1,2638,2775,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 d7d6 c1g5 h7h6 g5h4 a7a6 a2a4 c5a7 b1d2 d8e7 b2b4 c8d7 a1b1 g7g5 h4g3 f6h5 b4b5 a6b5 a4b5 c6a5 c4d5 h5g3 h2g3 e7f6 d1e2 e8g8 f3h2 c7c6 b5c6 b7c6 d5a2 g8g7 d2f1 f8b8 f1e3 a7e3 e2e3 d7e6 e3e2 e6a2 b1b8 a8b8 e2a2 f6e6 a2a1 a5b3 a1d1 b3c5 e1g1 b8b3 d1c2 b3a3 f1b1 e6a2 c2a2 a3a2 h2g4 a2d2 g4e3 d2d3 e3f5 g7f6 f2f3 g5g4 g1f2 g4f3 g2f3 d6d5 b1b6 d5e4 f5e3 d3d2 f2e1 d2d6 f3e4 c5e4 g3g4 f6g5
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.9,Hou Yifan,"Riazantsev,A",1/2-1/2,2666,2654,D31,c2c4 e7e6 b1c3 d7d5 d2d4 f8e7 c4d5 e6d5 c1f4 c7c6 e2e3 e7d6 f4g3 g8e7 f1d3 c8f5 g1e2 e8g8 a2a3 a7a5 a1c1 f5d3 d1d3 b8a6 c3a4 e7c8 a4c5 d8e7 d3c3 a8a7 e1g1 a6c7 e2f4 d6f4 g3f4 c7e6 f4b8 a7a8 b8g3 c8b6 a3a4 f8e8 b2b3 e6c5 d4c5 b6d7 f1e1 d7f8 h2h3 f7f6 e1e2 e7f7 e2b2 f8g6 b3b4 a5b4 b2b4 g6e5 c1b1 e8e7 e3e4 a8d8 b1d1 h7h6 c3b3 e7d7 e4d5 c6d5 d1b1 e5c4 b4b7 c4d2 b3b6 d2b1 c5c6 b1c3 c6d7 d8d7 b7d7 f7d7 a4a5 d5d4 a5a6 d4d3 b6b3 g8h8 a6a7 c3e2 g1h2 d7a7 b3d3
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.6,Li Chao2,"Svidler,P",1/2-1/2,2735,2749,D90,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 h2h4 e8g8 c4d5 f6d5 h4h5 c7c5 h5g6 h7g6 c1h6 g7h6 h1h6 d5c3 b2c3 g8g7 d1d2 c5d4 a1d1 d8a5 f3d4 b8c6 d4c6 b7c6 h6h4 g6g5 h4a4 a5e5 d2d4 e5d4 c3d4 c8e6 e2e4 f7f5 f1c4 e6c4 a4c4 a8c8 c4c5 g7g6 d1c1 c8d8 c5c6 g6h5 c1d1 f5e4 c6e6 d8d7 e1e2 f8f6 e6e4 f6a6 d1d2 e7e6 e2f3 h5g6 e4e5 g6f6 f3e4 d7d6 e5c5 a6a4 d2d3 a4a2 d3f3 f6g6 f3g3 d6d5 f2f4 a2a5 c5c6 d5f5 f4g5 f5g5 g3g5 a5g5 c6e6 g6f7
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.2,"Harikrishna,P","Adams,Mi",1/2-1/2,2737,2736,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 e8g8 c1g5 h7h6 g5h4 c5e7 a2a4 a7a5 b1d2 d7d6 h4g3 f6h7 d1b3 h7g5 f3g5 e7g5 d2f3 g5f6 h2h3 a8b8 a1d1 c8d7 e1g1 d8e8 c4b5 e8e6 b3c2 f8d8 f3h2 f6g5 c2e2 c6e7 b5d7 d8d7 h3h4 g5f6 h2g4 e7g6 h4h5 g6f4 g3f4 e5f4 d3d4 f6g5 e4e5 b8e8 e2f3 e6b3 d1e1 d7e7 e1b1 e7e6 g2g3 d6e5 d4e5 b3a4 b2b4 a4c6 f3c6 e6c6 g3f4 g5f4 b4a5 f4e5 f1e1 c6e6 e1e3 b7b6
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.3,"Jakovenko,D","Aronian,L",0-1,2703,2809,C50,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 c2c3 a7a6 a2a4 c5a7 f1e1 d7d6 h2h3 b7b5 c4b3 b5b4 a4a5 a8b8 b1d2 c8e6 b3e6 f7e6 d2c4 d8e8 c1e3 a7e3 e1e3 e8g6 c4d2 f6h5 d1f1 b8b5 g1h2 g6h6 h2g1 h6g6 g1h2 g6h6 h2g1 g8h8 d3d4 h5f4 h3h4 g7g5 h4g5 h6h5 f1c4 e5d4 c3d4 c6a5 c4f1 h7h6 e4e5 d6d5 a1c1 c7c6 f3e1 h6g5 e1d3 g5g4 d3f4 f8f4 e3d3 g4g3 d3g3 f4h4 f2f4 h4h1 g1f2 h1f1 c1f1 a5c4 d2b3 h5h4 f2f3 a6a5 f1a1 h4h5 f3f2 c4b2 g3h3 h5h3 g2h3 a5a4 b3c5 b4b3 f4f5 e6f5 e5e6 b2c4 e6e7 c4d6 c5a4 h8g7 a4c3 b5b8 a1a6 g7f7
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.4,"Mamedyarov,S","Inarkiev,E",1-0,2800,2707,D30,d2d4 g8f6 g1f3 d7d5 c2c4 e7e6 c1g5 f8b4 b1d2 d5c4 e2e3 b7b5 a2a4 c7c6 f1e2 b8d7 e1g1 d8b6 d1c2 c8b7 b2b3 c4c3 d2b1 c6c5 b1c3 c5d4 c3b5 a8c8 c2b2 a7a6 a4a5 b6c5 e3d4 c5f5 g5d2 b4e7 b5c3 e8g8 f3h4
Geneva Grand Prix 2017,Geneva SUI,2017.07.07,2.1,"Radjabov,T","Eljanov,P",1-0,2724,2739,E16,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7 b1c3 c7c6 e2e4 d7d5 e4d5 c6d5 f3e5 e8g8 e1g1 b8c6 d2f4 c6a5 a1c1 d5c4 g2b7 a5b7 e5c4 e7b4 f4g5 b7d6 c4d6 b4d6 d4d5 e6d5 c3d5 d6e5 g5f6 e5f6 b2b4 d8d6 d1f3 a8c8 c1d1 f8e8 b4b5 f6e7 d1d4 e7f8 f1d1 c8c5 a2a4 d6e6 d4g4 g8h8 g4f4 h8g8 h2h4 c5c2 g1g2 h7h6 h4h5 c2c8 d1d4 f8c5 d4e4 e6d7 f4g4 g8f8 e4f4 c5d6 f4d4 d7b7 g4g7 d6e5 g7g8 f8g8 d5f6 e5f6 d4g4
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.4,"Giri,A",Li Chao2,1/2-1/2,2775,2735,D16,c2c4 c7c6 d2d4 d7d5 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6 e2e3 c6c5 f1c4 b8c6 e1g1 f8e7 d1e2 e8g8 f1d1 d8c7 b2b3 b7b6 c1b2 c8b7 d4d5 e6d5 c3d5 f6d5 c4d5 c6b4 d5c4 c7c6 e3e4 c6e4 d1d7 e4e2 c4e2 e7f6 d7b7 f6b2 a1d1 b4c6 d1d7 c6a5 b7a7 a8a7 d7a7 h7h6 a7a6 f8b8 f3d2 b2c3 d2c4 a5c4 e2c4 b8b7 h2h4 g7g6 c4b5 c3a5 a6a8 g8g7 a8e8 h6h5 f2f3 g7f6 g2g4 h5g4 f3g4 b7e7 g4g5 f6e6 b5c4 e6d6 e8h8 d6e5 h8h7 e5f4 h7f7 e7f7 c4f7
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.7,"Inarkiev,E",Hou Yifan,1/2-1/2,2707,2666,A14,c2c4 e7e6 g2g3 g8f6 f1g2 d7d5 g1f3 f8e7 e1g1 e8g8 d2d4 d5c4 f3e5 b8c6 e5c6 b7c6 b1a3 e7a3 b2a3 c8a6 d1d2 a8b8 f1d1 d8c8 d2c2 h7h6 c1d2 f6d5 e2e4 d5b6 d2b4 f8d8 a3a4 b6d5 e4d5 b8b4 d5c6 c8b8 d1d2 c4c3 c2c3 a6c4 a1e1 c4d5 g2d5 d8d5 e1e5 b4a4 d2b2 b8e8 e5d5 e6d5 c3d3 g7g6 b2c2 g8g7 g1g2 e8e6 h2h4 h6h5 c2c5 a4a2 d3f3 e6e1 f3f4 e1e6 f4e5 e6f6 e5f6 g7f6 c5d5 a2a6 d5c5 f6e6 g2f3 e6d6 f3e4 a6c6 c5a5 a7a6 f2f3 d6e7 g3g4 c6e6 e4f4 e6d6 f4e4 h5g4 f3g4 d6c6 e4f4 c6c4 f4e5 c4c1 a5a6 c1h1 a6a7 e7d7 d4d5 h1e1 e5f6 e1f1 f6g7 d7d6 a7a5 f1g1 a5a4 f7f5 g4g5 g1g4 a4a1 g4h4 g7g6 f5f4 g6f5 h4h2 f5f4 d6d5 g5g6 h2g2 f4f5 c7c5 a1d1 d5c4 f5f6 g2f2 f6e7 f2g2 e7f7 c4b3 d1b1 b3a3 b1b6 c5c4 g6g7 g2g7 f7g7 c4c3 b6c6 a3b2 c6c3
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.9,"Riazantsev,A","Salem,AR",1/2-1/2,2654,2638,D85,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 c1d2 d5b6 e2e3 f8g7 f2f4 e8g8 g1f3 b8d7 c3e4 d7f6 f1d3 f6e4 d3e4 b6c4 a1c1 c4d6 e4d3 c7c6 d1c2 c8e6 f3g5 e6d7 e1g1 a8c8 g1h1 a7a5 a2a3 c6c5 d4c5 b7b6 b2b4 b6c5 b4c5 d6b7 g5e4 d7c6 f1d1 d8d5 d2e1 d5e6 f4f5 e6d7 f5g6 h7g6 c2e2 g7h6 e4f2 d7e6 f2g4 h6g7 e1c3 b7c5 c3g7 c5d3 c1c6 c8c6 g7f8 e6g4 e2g4 d3f2 h1g1 f2g4 f8e7 g4e3 d1e1 e3d5
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.6,"Eljanov,P","Nepomniachtchi,I",1-0,2739,2742,B92,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f1e2 e7e5 d4b3 f8e7 c1e3 c8e6 c3d5 b8d7 d1d3 e8g8 a2a4 e6d5 e4d5 d7c5 b3c5 d6c5 c2c4 d8c7 d3c2 a8e8 g2g4 e5e4 e1c1 e7d6 g4g5 f6d7 c1b1 d7e5 h2h4 e5f3 h1h3 c7d7 h3h1 d7e7 e2f3 e4f3 h4h5 b7b5 c4b5 a6b5 a4b5 e7d7 c2d3 e8b8 h5h6 g7g6 e3d2 b8b5 d2c3 b5b3 h1e1 d7g4 e1e4 g4g5 d3f3 d6e5 e4e5 g5e5 d5d6 f7f6 d6d7 b3c3 f3c3 e5e7 c3b3 g8h8 b3d5 f8d8 d1d3
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.1,"Aronian,L","Radjabov,T",1/2-1/2,2809,2724,E01,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8b4 c1d2 b4e7 g1f3 e8g8 e1g1 c7c6 b1a3 f6e4 d2f4 b8d7 d1c2 f7f5 a1d1 g7g5 f4c1 e4d6 f3e5 d8e8 c2b3 d7e5 d4e5 d6e4 a3c2 b7b6 c2d4 c8d7 b3c2 a7a5 c1e3 a8c8 d4f3 b6b5 c4d5 c6d5 c2d3 b5b4 f3d4 f5f4 e3c1 e4c5 d3f3
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.2,"Harikrishna,P","Mamedyarov,S",1/2-1/2,2737,2800,C53,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a6 e1g1 d7d6 a2a4 c5a7 f1e1 e8g8 h2h3 b7b5 c4a2 b5b4 c1g5 a8b8 b1d2 h7h6 g5h4 c8e6 a2c4 g7g5 h4g3 c6a5 c4e6 f7e6 d3d4 b4c3 b2c3 f6h5 g3h2 e5d4 c3d4 a5c6 a1c1 d8d7 e1e3 b8b7 d2b3 e6e5 f3e5 d6e5 d1h5 g8h7 e3c3 c6d4 h2e5 f8f2 g1h2 d4e6 c1d1 d7e7 h5g4 e7f7 c3c6 h6h5 g4g3 f2f1 g3d3 f1d1 d3d1
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.3,"Adams,Mi","Grischuk,A",1/2-1/2,2736,2761,B52,e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 b8d7 e1g1 g8f6 f1e1 e7e6 c2c3 f8e7 d2d4 e8g8 e4e5 f6e8 e5d6 e7d6 c1g5 e8f6 b1a3 d6e7 a3c4 a8c8
Geneva Grand Prix 2017,Geneva SUI,2017.07.08,3.5,"Svidler,P","Gelfand,B",1/2-1/2,2749,2728,A37,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6 g1f3 d7d6 e1g1 e7e6 e2e3 g8e7 d2d4 e8g8 f1e1 f8e8 b2b3 e7f5 c1b2 c5d4 e3d4 f5d4 f3d4 c6d4 c3e4 e6e5 e4d6 d8d6 b2d4 d6c7 d4c3 c8d7 d1d5 d7c6 d5c5 c7b6 c5b6
